station_id,year,month,day,metric,value
ACW00011604,1949,5,2,TMAX,28.3
ACW00011604,1949,5,3,TMAX,27.8
ACW00011604,1949,5,4,TMAX,27.2
ACW00011604,1949,5,5,TMAX,27.8
ACW00011604,1949,5,6,TMAX,28.3
ACW00011604,1949,5,7,TMAX,27.8
ACW00011604,1949,5,8,TMAX,29.4
ACW00011604,1949,5,9,TMAX,29.4
ACW00011604,1949,5,10,TMAX,29.4
ACW00011604,1949,5,11,TMAX,28.9
ACW00011604,1949,5,12,TMAX,29.4
ACW00011604,1949,5,13,TMAX,29.4
ACW00011604,1949,5,14,TMAX,29.4
ACW00011604,1949,5,15,TMAX,28.9
ACW00011604,1949,5,16,TMAX,29.4
ACW00011604,1949,5,17,TMAX,29.4
ACW00011604,1949,5,18,TMAX,29.4
ACW00011604,1949,5,19,TMAX,29.4
ACW00011604,1949,5,20,TMAX,29.4
ACW00011604,1949,5,21,TMAX,29.4
ACW00011604,1949,5,22,TMAX,29.4
ACW00011604,1949,5,23,TMAX,28.9
ACW00011604,1949,5,24,TMAX,29.4
ACW00011604,1949,5,25,TMAX,30.0
ACW00011604,1949,5,26,TMAX,30.0
ACW00011604,1949,5,27,TMAX,30.0
ACW00011604,1949,5,28,TMAX,30.0
ACW00011604,1949,5,29,TMAX,30.0
ACW00011604,1949,5,30,TMAX,29.4
ACW00011604,1949,6,1,TMAX,30.0
ACW00011604,1949,6,2,TMAX,29.4
ACW00011604,1949,6,3,TMAX,29.4
ACW00011604,1949,6,4,TMAX,29.4
ACW00011604,1949,6,5,TMAX,28.9
ACW00011604,1949,6,6,TMAX,29.4
ACW00011604,1949,6,7,TMAX,30.0
ACW00011604,1949,6,8,TMAX,29.4
ACW00011604,1949,6,9,TMAX,27.8
ACW00011604,1949,6,10,TMAX,30.0
ACW00011604,1949,6,11,TMAX,28.9
ACW00011604,1949,6,12,TMAX,29.4
ACW00011604,1949,6,13,TMAX,30.0
ACW00011604,1949,6,14,TMAX,30.0
ACW00011604,1949,6,15,TMAX,28.9
ACW00011604,1949,6,16,TMAX,29.4
ACW00011604,1949,6,17,TMAX,28.3
ACW00011604,1949,6,18,TMAX,30.0
ACW00011604,1949,6,19,TMAX,29.4
ACW00011604,1949,6,20,TMAX,29.4
ACW00011604,1949,6,21,TMAX,28.9
ACW00011604,1949,6,22,TMAX,30.0
ACW00011604,1949,6,23,TMAX,30.0
ACW00011604,1949,6,24,TMAX,29.4
ACW00011604,1949,6,25,TMAX,29.4
ACW00011604,1949,6,26,TMAX,30.0
ACW00011604,1949,6,27,TMAX,30.0
ACW00011604,1949,6,28,TMAX,30.0
ACW00011604,1949,6,29,TMAX,30.0
ACW00011604,1949,6,30,TMAX,29.4
ACW00011604,1949,7,1,TMAX,30.0
ACW00011604,1949,7,2,TMAX,30.0
ACW00011604,1949,7,3,TMAX,30.0
ACW00011604,1949,7,4,TMAX,30.0
ACW00011604,1949,7,5,TMAX,30.0
ACW00011604,1949,7,6,TMAX,30.0
ACW00011604,1949,7,7,TMAX,29.4
ACW00011604,1949,7,8,TMAX,30.6
ACW00011604,1949,7,9,TMAX,28.9
ACW00011604,1949,7,10,TMAX,30.0
ACW00011604,1949,7,11,TMAX,29.4
ACW00011604,1949,7,12,TMAX,29.4
ACW00011604,1949,7,13,TMAX,29.4
ACW00011604,1949,7,14,TMAX,29.4
ACW00011604,1949,7,15,TMAX,29.4
ACW00011604,1949,7,16,TMAX,29.4
ACW00011604,1949,7,17,TMAX,30.0
ACW00011604,1949,7,18,TMAX,30.0
ACW00011604,1949,7,19,TMAX,28.9
ACW00011604,1949,7,20,TMAX,30.0
ACW00011604,1949,7,21,TMAX,29.4
ACW00011604,1949,7,22,TMAX,30.6
ACW00011604,1949,7,23,TMAX,29.4
ACW00011604,1949,7,24,TMAX,30.6
ACW00011604,1949,7,25,TMAX,30.6
ACW00011604,1949,7,26,TMAX,30.6
ACW00011604,1949,7,27,TMAX,30.0
ACW00011604,1949,7,28,TMAX,30.6
ACW00011604,1949,7,29,TMAX,30.0
ACW00011604,1949,7,30,TMAX,30.6
