state_name,year,value
Alabama,1960,1.5891359587339826
Alaska,1960,1.6368662325024346
Arizona,1960,1.129738473892302
Arkansas,1960,0.6099086962143327
California,1960,1.515568292400765
Colorado,1960,0.8075248283418048
Connecticut,1960,2.4678530578636124
Delaware,1960,2.835234128847423
Florida,1960,1.2179501663842558
Georgia,1960,0.942291250706027
Hawaii,1960,0.8381828933847799
Idaho,1960,0.01854156884361302
Illinois,1960,-0.03366441418451305
Indiana,1960,1.2716151385854957
Iowa,1960,0.40187054692444324
Kansas,1960,-0.12812428121321018
Kentucky,1960,1.4421521820495546
Louisiana,1960,1.0033937964872166
Maine,1960,1.347706558057558
Maryland,1960,2.303198021082144
Massachusetts,1960,1.752188541602869
Michigan,1960,0.03771100177612663
Minnesota,1960,0.12863576478914496
Mississippi,1960,0.6627112195387515
Missouri,1960,1.1950573940618854
Montana,1960,-0.36649924123335254
Nebraska,1960,-0.42073415266521064
Nevada,1960,0.4997431830090715
New-Hampshire,1960,1.2858650688334041
New-Jersey,1960,3.026319478186309
New-Mexico,1960,1.449295953017713
New-York,1960,0.9288853615880344
North-Carolina,1960,1.118194707007193
North-Dakota,1960,1.2906181328215904
Ohio,1960,1.6650907729892683
Oklahoma,1960,0.44207073882775627
Oregon,1960,0.19307636663060102
Pennsylvania,1960,1.740016767722135
Rhode-Island,1960,0.9076465236238418
South-Carolina,1960,0.522862659834364
South-Dakota,1960,1.1850613410094653
Tennessee,1960,-0.9986995624332251
Texas,1960,-0.2784490877787532
Utah,1960,-0.005956229712349881
Vermont,1960,1.6513828947457956
Virginia,1960,1.1425265091970682
Washington,1960,0.04374200572987874
West-Virginia,1960,1.5013443371509845
Wisconsin,1960,1.12697799916978
Wyoming,1960,0.35940651518554034
Alabama,1970,0.9583829832118624
Alaska,1970,2.519587918257354
Arizona,1970,1.538315687755616
Arkansas,1970,0.7364619561888817
California,1970,1.8741005927226464
Colorado,1970,1.0778999312686715
Connecticut,1970,1.900385208473688
Delaware,1970,2.206893759059265
Florida,1970,1.0647077829723237
Georgia,1970,0.24640600480438746
Hawaii,1970,1.1056805354238548
Idaho,1970,-0.5959546509333169
Illinois,1970,0.5059135482378239
Indiana,1970,0.9205601194972406
Iowa,1970,0.3919285602487941
Kansas,1970,0.1017969703774777
Kentucky,1970,0.6269375701774085
Louisiana,1970,0.6170354612824855
Maine,1970,1.2990985035624618
Maryland,1970,1.6209751750607353
Massachusetts,1970,2.0965548863891557
Michigan,1970,0.739883170351618
Minnesota,1970,0.5273769879345913
Mississippi,1970,0.3114259436947515
Missouri,1970,1.3968876957311718
Montana,1970,-0.7640743591313992
Nebraska,1970,-0.09474949812520084
Nevada,1970,-0.3522988860080698
New-Hampshire,1970,1.1083626360165777
New-Jersey,1970,1.8842449217075312
New-Mexico,1970,0.7916700828178476
New-York,1970,0.7636177517369971
North-Carolina,1970,0.34779482677663676
North-Dakota,1970,1.07553287194877
Ohio,1970,1.497044362329788
Oklahoma,1970,0.6498830750804698
Oregon,1970,0.12411514198803708
Pennsylvania,1970,1.2703137210869073
Rhode-Island,1970,0.6843709790471522
South-Carolina,1970,0.21733125778331264
South-Dakota,1970,0.9692102293993141
Tennessee,1970,-1.5509716636384052
Texas,1970,-0.01360875541854667
Utah,1970,-0.048853003422957286
Vermont,1970,0.7228436328249934
Virginia,1970,0.8905674553756746
Washington,1970,0.18793228943374896
West-Virginia,1970,1.1026846320832395
Wisconsin,1970,1.5182750273904553
Wyoming,1970,1.3311308208970445
Alabama,1980,1.1195234128847424
Alaska,1980,1.272866681637847
Arizona,1980,0.5102427032507872
Arkansas,1980,1.1884188391891066
California,1980,0.5147986240124123
Colorado,1980,1.879242771301607
Connecticut,1980,1.7206917433939666
Delaware,1980,2.0378201757072185
Florida,1980,1.6056371190004697
Georgia,1980,0.5607213727211482
Hawaii,1980,-0.09829304044260212
Idaho,1980,0.8866190447025843
Illinois,1980,1.4710722427508864
Indiana,1980,0.7727259253210297
Iowa,1980,0.26236332332986256
Kansas,1980,0.13269284581725627
Kentucky,1980,1.7088090425930087
Louisiana,1980,0.231810070160396
Maine,1980,1.3952838467767732
Maryland,1980,1.5937714921503376
Massachusetts,1980,1.7269933174094416
Michigan,1980,0.5934996835636852
Minnesota,1980,0.5503593219416256
Mississippi,1980,1.0233247385147228
Missouri,1980,2.1978314789484785
Montana,1980,0.538608251842474
Nebraska,1980,0.2765575607863946
Nevada,1980,0.3351584835555208
New-Hampshire,1980,0.7122627033868891
New-Jersey,1980,2.3910043348372563
New-Mexico,1980,0.6936854282778375
New-York,1980,0.946791043151026
North-Carolina,1980,0.7858237211549585
North-Dakota,1980,0.7694430448659055
Ohio,1980,1.4174026226786167
Oklahoma,1980,0.6516536417396508
Oregon,1980,1.2904574580296568
Pennsylvania,1980,1.6348482670858595
Rhode-Island,1980,0.7187051357954117
South-Carolina,1980,0.6223926396232713
South-Dakota,1980,0.6574552327678305
Tennessee,1980,-0.7976040463017782
Texas,1980,0.5475990445664822
Utah,1980,1.3835526407120842
Vermont,1980,0.4522609544808063
Virginia,1980,1.1919142627714376
Washington,1980,1.136856385548728
West-Virginia,1980,1.5042823564638077
Wisconsin,1980,1.9825603780903576
Wyoming,1980,1.8573707340641992
Alabama,1990,0.6534136741318415
Alaska,1990,1.4558937046186102
Arizona,1990,0.12374453722039558
Arkansas,1990,0.6327518730988304
California,1990,0.8176847681848809
Colorado,1990,1.2493988458580851
Connecticut,1990,1.846452728497642
Delaware,1990,1.4885550361009603
Florida,1990,0.9639496423929383
